Protein Name,Protein Discription,FASTA header,Item \ ID ,Heritability,12,17,15,27,19,45,20,31,13,18,14,16,21,22,25,26,28,29,30,37,32,33,23,34,35,38,36,46,39,40,42,41,43,44
Protein,GMP reductase 2;GMP reductase,>tr|H0YMB3|H0YMB3_HUMAN GMP reductase 2 OS=Homo sapiens GN=GMPR2 PE=1 SV=1;>tr|A0A087WWM4|A0A087WWM4_HUMAN GMP reductase OS=Homo sapiens GN=GMPR2 PE=1 SV=1;>tr|F8WAN9|F8WAN9_HUMAN GMP reductase OS=Homo sapiens GN=GMPR2 PE=1 SV=1;>sp|Q9P2T1-3|GMPR2_HUMAN Is,GMPR2,0.924678905,30238,27091,,,26579,28423,29688,31315,,,,,,30971,44457,,,,,,,,,,,82367,34227,26611,,32190,,26924,33727,37140
Protein,14-3-3 protein eta,>sp|Q04917|1433F_HUMAN 14-3-3 protein eta OS=Homo sapiens GN=YWHAH PE=1 SV=4,YWHAH,0.914310987,47614,50560,,,41947,54071,49396,50003,43333,,47564,,64194,39504,36238,41174,,52180,63939,68818,51690,49523,57422,55002,43381,54139,67400,63189,71652,79903,44041,38895,59558,62149
Protein,Piezo-type mechanosensitive ion channel component 1,>sp|Q92508|PIEZ1_HUMAN Piezo-type mechanosensitive ion channel component 1 OS=Homo sapiens GN=PIEZO1 PE=1 SV=4,PIEZO1,0.885325048,112320,154020,,,127800,127600,126080,131510,154320,,177970,197550,184390,163730,130730,107280,185070,154860,170560,165360,84557,133140,113630,92929,118320,97611,85517,91541,126830,100120,100200,107750,119820,138160
Protein,Glyoxalase domain-containing protein 4,>sp|Q9HC38-2|GLOD4_HUMAN Isoform 2 of Glyoxalase domain-containing protein 4 OS=Homo sapiens GN=GLOD4;>tr|F6TLX2|F6TLX2_HUMAN Glyoxalase domain-containing protein 4 OS=Homo sapiens GN=GLOD4 PE=1 SV=1;>tr|I3L3Q4|I3L3Q4_HUMAN Glyoxalase domain-containing pro,GLOD4,0.876156907,141930,134550,,,64354,102010,106790,188910,137260,161870,187270,151870,194460,240130,212690,256660,146990,129050,218780,,181220,173950,121670,110860,103620,88161,126510,139390,100240,124320,137110,81056,114170,112900
Protein,SEC14-like protein 4,>sp|Q9UDX3|S14L4_HUMAN SEC14-like protein 4 OS=Homo sapiens GN=SEC14L4 PE=1 SV=1;>sp|Q9UDX3-2|S14L4_HUMAN Isoform 2 of SEC14-like protein 4 OS=Homo sapiens GN=SEC14L4,SEC14L4,0.860614111,88552,51677,,,66784,64944,,67818,61066,,101730,81666,66585,82990,91768,97186,97836,121490,118410,,86393,77229,115730,101180,107110,72960,51327,32443,,116210,70027,68301,49557,45148
Protein,Carbonic anhydrase 1,>sp|P00915|CAH1_HUMAN Carbonic anhydrase 1 OS=Homo sapiens GN=CA1 PE=1 SV=2;>tr|E5RHP7|E5RHP7_HUMAN Carbonic anhydrase 1 (Fragment) OS=Homo sapiens GN=CA1 PE=1 SV=1;>tr|E5RH81|E5RH81_HUMAN Carbonic anhydrase 1 (Fragment) OS=Homo sapiens GN=CA1 PE=1 SV=5;>t,CA1,0.837926957,39495000,26458000,29944000,1137500,14741000,38693000,28596000,26674000,22479000,21037000,45875000,46746000,52118000,76237000,54329000,52081000,50140000,65952000,72651000,31352000,60532000,48209000,100150000,119410000,81805000,78923000,119390000,97956000,94759000,72232000,105800000,76186000,119620000,122340000
Protein,Protein S100-A9,>sp|P06702|S10A9_HUMAN Protein S100-A9 OS=Homo sapiens GN=S100A9 PE=1 SV=1,S100A9,0.822588863,882910,1919600,,,1168700,1350000,757640,2063000,2552000,2847200,919090,908910,1418300,2531700,3002900,2436500,3327200,1444300,1225600,453960,574000,680700,3359000,3365400,675450,,,1593900,1704100,2646700,1561800,,,625470
Protein,Protein LZIC,>sp|Q8WZA0|LZIC_HUMAN Protein LZIC OS=Homo sapiens GN=LZIC PE=1 SV=1;>sp|Q8WZA0-2|LZIC_HUMAN Isoform 2 of Protein LZIC OS=Homo sapiens GN=LZIC,LZIC,0.816224671,90711,62050,,,68354,72118,61360,107780,52064,,76829,61549,58353,65006,73273,83497,,50383,73873,,85959,,56811,53715,62302,70447,68887,58887,,71511,69490,66754,90738,
Protein,Eukaryotic translation initiation factor 2 subunit 1,>sp|P05198|IF2A_HUMAN Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens GN=EIF2S1 PE=1 SV=3;>tr|H0YJS4|H0YJS4_HUMAN Eukaryotic translation initiation factor 2 subunit 1 (Fragment) OS=Homo sapiens GN=EIF2S1 PE=1 SV=1;>tr|G3V4T5|G3V4T5_HUM,EIF2S1,0.815974534,184390,116040,,,141220,198850,96753,94550,259920,241910,98673,86114,116020,129300,61133,94911,146460,135980,106560,,49164,72813,82753,70837,48949,56499,51285,73353,87980,113260,74242,42213,40845,60841
Protein,Multidrug resistance-associated protein 4,>sp|O15439-2|MRP4_HUMAN Isoform 2 of Multidrug resistance-associated protein 4 OS=Homo sapiens GN=ABCC4;>sp|O15439|MRP4_HUMAN Multidrug resistance-associated protein 4 OS=Homo sapiens GN=ABCC4 PE=1 SV=3;>sp|O15439-4|MRP4_HUMAN Isoform 4 of Multidrug resist,ABCC4,0.81314464,118210,59987,,,137420,99954,81939,113470,168700,138890,102910,99595,73788,71860,82375,69972,61880,80069,138180,,73487,99872,112950,84527,119560,82115,94174,88486,67271,71298,68372,94741,94912,130810
